displayLabel|County|avgIncome:float|error:float|stateCounty
United States - Colorado - Sedgwick County|Sedgwick County|37625|4430|CO-Sedgwick County
United States - Colorado - Summit County|Summit County|68750|5893|CO-Summit County
United States - Colorado - Teller County|Teller County|58080|3305|CO-Teller County
United States - Colorado - Washington County|Washington County|39735|3402|CO-Washington County
United States - Colorado - Weld County|Weld County|55596|1246|CO-Weld County
United States - Colorado - Yuma County|Yuma County|42114|4949|CO-Yuma County
United States - Connecticut|Connecticut|67740|381|-Connecticut
United States - Connecticut - Fairfield County|Fairfield County|81268|944|CO-Fairfield County
United States - Connecticut - Hartford County|Hartford County|62590|606|CO-Hartford County
United States - Connecticut - Litchfield County|Litchfield County|69639|1251|CO-Litchfield County
United States - Connecticut - Middlesex County|Middlesex County|74906|1589|CO-Middlesex County
United States - Connecticut - New Haven County|New Haven County|61114|667|CO-New Haven County
United States - Connecticut - New London County|New London County|65419|1122|CO-New London County
United States - Connecticut - Tolland County|Tolland County|77175|2008|CO-Tolland County
United States - Connecticut - Windham County|Windham County|59370|1686|CO-Windham County
United States - Delaware|Delaware|57599|651|-Delaware
United States - Delaware - Kent County|Kent County|53183|1130|DE-Kent County
United States - Delaware - New Castle County|New Castle County|62474|970|DE-New Castle County
United States - Delaware - Sussex County|Sussex County|51046|1023|DE-Sussex County
United States - District of Columbia|District of Columbia|58526|982|-District of Columbia
United States - District of Columbia - District of Columbia|District of Columbia|58526|982|DC-District of Columbia
United States - Florida|Florida|47661|173|-Florida
United States - Florida - Alachua County|Alachua County|40644|1059|FL-Alachua County
United States - Florida - Baker County|Baker County|47276|3422|FL-Baker County
United States - Florida - Bay County|Bay County|47770|1179|FL-Bay County
United States - Florida - Bradford County|Bradford County|41126|2609|FL-Bradford County
United States - Florida - Brevard County|Brevard County|49523|841|FL-Brevard County
United States - Florida - Broward County|Broward County|51694|461|FL-Broward County
United States - Florida - Calhoun County|Calhoun County|31699|6622|FL-Calhoun County
United States - Florida - Charlotte County|Charlotte County|45037|1157|FL-Charlotte County
United States - Florida - Citrus County|Citrus County|37933|957|FL-Citrus County
United States - Florida - Clay County|Clay County|61185|1255|FL-Clay County
United States - Florida - Collier County|Collier County|58106|1409|FL-Collier County
United States - Florida - Columbia County|Columbia County|38214|2543|FL-Columbia County
United States - Florida - DeSoto County|DeSoto County|35979|1645|FL-DeSoto County
United States - Florida - Dixie County|Dixie County|32312|2615|FL-Dixie County
United States - Florida - Duval County|Duval County|49463|578|FL-Duval County
